Moroccan,0.08,0.06,30.48,0.26,22.16,1.12,0.20,8.91,17.35,0.08,11.94,7.34
Malay_Malaysia,4.24,1.18,0.35,59.65,0.40,0.99,17.38,0.19,0.40,13.55,1.47,0.19
Malayali,35.33,0.52,0.19,1.59,0.28,3.01,50.19,0.16,2.15,1.62,4.89,0.07
Mandean,20.14,0.07,2.28,0.11,9.75,0.91,1.65,0.42,20.96,0.19,43.54,0
Mandenka,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.30
Mari,8.02,23.81,0.07,0.26,9.62,45.82,1.11,0.02,0.12,6,5.14,0
Mawasi,1.80,0.80,0.00,21.80,0.00,0.30,73.90,0.00,0.00,0.00,1.40,0.00
Moldavian_Center,5.31,1.08,0.83,0.37,24.76,39.15,0.57,0.03,5.22,0.66,21.97,0.06
Moldavian_Gagauz,6.83,0.88,1.53,0.42,25.12,30.38,0.77,0.04,6.51,0.36,27.10,0.06
Moldavian_Jewish,5.42,0.53,4.82,0.79,24.63,13.88,0.12,0.49,14.32,0.28,34.67,0.02
Moldavian_North,4.54,1.11,0.58,0.40,24.85,42.36,0.89,0.05,4.30,0.67,20.09,0.15
Moldavian_South,5.49,0.89,0.97,0.63,26.03,33.32,0.12,0.07,6.94,0.26,25.15,0.13
Meena,43.40,0.60,0.00,0.90,2.90,6.90,43.50,0.00,0.60,0.00,1.20,0.00
Meghawal,36.00,1.30,0.90,0.20,1.00,2.80,55.60,0.00,0.70,0.00,1.50,0.00
Miaozu,0.00,0.00,0.00,50.50,0.00,0.00,0.00,0.00,0.00,49.50,0.00,0.00
Mongol_Khalkh,3.14,32.62,0.22,6.40,0.61,5.19,0.85,0.10,0.44,47.33,3.01,0.08
Mongol_Uuld,4.73,33.82,0.13,4.31,0.76,5.76,0.48,0.11,0.44,45.93,3.34,0.20
Montenegrin,4.84,0.61,0.57,0.09,27.95,35.96,0.21,0.02,5.98,0.15,23.62,0.01
